"YEAR","COUNTRY","RANKING","ECONOMY","MILLIONS_OF_DOLLARS","FLAGGED"
2015,"LSO",167,"Lesotho"," 2,278 ",
2015,"BTN",168,"Bhutan"," 2,058 ",
2015,"LBR",169,"Liberia"," 2,053 ",
2015,"BLZ",170,"Belize"," 1,753 ",
2015,"DJI",171,"Djibouti"," 1,727 ",
2015,"CPV",172,"Cabo Verde"," 1,603 ",
2015,"CAF",173,"Central African Republic"," 1,584 ",
2015,"TMP",174,"Timor-Leste"," 1,442 ",
2015,"SYC",175,"Seychelles"," 1,438 ",
2015,"LCA",176,"St. Lucia"," 1,431 ",
2015,"ATG",177,"Antigua and Barbuda"," 1,259 ",
2015,"SLB",178,"Solomon Islands"," 1,129 ",
2015,"GNB",179,"Guinea-Bissau"," 1,057 ",
2015,"GRD",180,"Grenada"," 984 ",
2015,"GMB",181,"Gambia, The"," 939 ",
2015,"KNA",182,"St. Kitts and Nevis"," 876 ",
2015,"WSM",183,"Samoa"," 761 ",
2015,"VUT",184,"Vanuatu"," 742 ",
2015,"VCT",185,"St. Vincent and the Grenadines"," 738 ",
2015,"COM",186,"Comoros"," 566 ",
2015,"DMA",187,"Dominica"," 517 ",
2015,"TON",188,"Tonga"," 435 ",
2015,"STP",189,"S�o Tom� and Principe"," 318 ",
2015,"FSM",190,"Micronesia, Fed. Sts."," 315 ",
2015,"PLW",191,"Palau"," 287 ",
2015,"MHL",192,"Marshall Islands"," 179 ",
2015,"KIR",193,"Kiribati"," 160 ",
2015,"NRU",194,"Nauru"," 100 ",
2015,"TUV",195,"Tuvalu"," 33 ",
2015,,,,,
2015,"ASM",,"American Samoa"," .. ",
2015,"ABW",,"Aruba"," .. ",
2015,"VGB",,"British Virgin Islands"," .. ",
2015,"CYM",,"Cayman Islands"," .. ",
2015,"CHI",,"Channel Islands"," .. ",
2015,"CUW",,"Cura�ao"," .. ",
2015,"ERI",,"Eritrea"," .. ",
2015,"PYF",,"French Polynesia"," .. ",
2015,"GIB",,"Gibraltar"," .. ",
2015,"GUM",,"Guam"," .. ",
2015,"PRK",,"Korea, Dem. People's Rep."," .. ",
2015,"LBY",,"Libya"," .. ",
2015,"MCO",,"Monaco"," .. ",
2015,"NCL",,"New Caledonia"," .. ",
2015,"MNP",,"Northern Mariana Islands"," .. ",
2015,"SMR",,"San Marino"," .. ",
2015,"SXM",,"Sint Maarten (Dutch part)"," .. ",
2015,"MAF",,"St. Martin (French part)"," .. ",
2015,"SYR",,"Syrian Arab Republic"," .. ",
2015,"TCA",,"Turks and Caicos Islands"," .. ",
2015,"VEN",,"Venezuela, RB"," .. ",
2015,"VIR",,"Virgin Islands (U.S.)"," .. ",
2015,,,,,
2015,"WLD",,"World","74,152,476",
2015,,,,,
2015,"EAS",,"East Asia & Pacific","21,680,001",
2015,"ECS",,"Europe & Central Asia","20,076,819",
2015,"LCN",,"Latin America & Caribbean","5,293,793",
2015,"MEA",,"Middle East & North Africa","3,141,081",
2015,"NAC",,"North America","19,593,077",
2015,"SAS",,"South Asia","2,689,862",
2015,"SSF",,"Sub-Saharan Africa","1,590,036",
2015,"LIC",,"Low income","394,274",
2015,"LMC",,"Lower middle income","5,861,047",
2015,"UMC",,"Upper middle income","20,492,673",
2015,"HIC",,"High income","47,411,506",
